max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km)
-0.03,121,60,119,120,61,60,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",8650,19,7.6
0.0,0,0,60,60,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로,강서로",3800,9,1.7
-0.05,120,61,0,241,119,180,62,0,0,0,0,0,0,0,"올림픽대로,선유로,강변북로",11400,29,12
0.0,361,61,121,60,60,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",9170,21,8.3
-0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-,-,-",3800,1,0.003
0.0,241,61,119,60,60,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",9290,21,8.3
0.1,0,61,60,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡중앙8로,마곡동로",3800,5,1.6
0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로47길,-",3800,1,0.069
-0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙8로1길,마곡동로10길,마곡동로",3800,3,0.578
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로47나길,양천로47길",3800,1,0.446
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-,-,-",3800,1,0.007
0.05,59,0,0,0,60,0,0,0,0,0,0,0,0,0,"양천로47길,양천로47나길,양천로47가길",3800,1,0.34700000000000003
0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로47길,-",3800,1,0.069
0.0,182,239,61,120,0,0,61,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",9350,20,8.5
0.01,120,61,0,60,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡동로,양천로47길",3800,4,1.4
0.03,241,61,61,0,121,59,0,0,0,0,0,0,0,0,"올림픽대로,화곡로,가양대로",9030,20,8.3
-0.09,59,61,61,0,0,0,0,0,0,0,0,0,0,0,"마곡중앙6로,마곡중앙8로7길,마곡동로10길",3800,5,1.5
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로,마곡중앙8로1길,마곡동로10길",3800,3,0.613
0.06,60,60,181,59,60,0,61,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",9170,21,8.3
0.0,120,60,120,60,121,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",8930,19,7.7
-0.03,179,182,241,0,0,120,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",8970,20,7.9
0.01,180,60,60,62,120,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9030,19,7.7
0.0,180,61,179,0,60,60,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",8750,19,7.7
0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47가길,양천로47길,-",3800,1,0.069
-0.01,180,181,60,181,301,239,302,180,0,0,0,0,0,0,"올림픽대로,평택파주고속도로(서울-문산),책향기로",27030,36,28
0.1,60,180,61,61,60,60,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9130,20,8
-0.03,181,60,241,60,0,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,월드컵북로",9030,20,7.9
0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로,마곡중앙8로1길,마곡동로10길",3800,3,0.613
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"양천로47길,양천로47나길,-",3800,1,0.191
0.05,60,60,302,122,59,0,0,0,0,0,0,0,0,0,"올림픽대로,가양대로,성암로",8990,19,7.8
-0.03,60,121,59,0,0,0,0,0,0,0,0,0,0,0,"방화대로,오정로,대장로",5350,8,3.8
