index,s_lat,s_lng,e_lat,e_lng,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,path,fee,duration(min),root_dist(km),med_est_dist,diff,pc1,pc2,clusters,time_sum,avg_speed,target,s,e
18134,35.1489333,128.9527466,35.1689566,128.9602066,3214.83,20,5,17,14,3,14,0,0,0,0,0,0,0,0,"공항로,유통단지1로,-",5770,2,2.6,0.9597222222222223,1.640277777777778,-0.022257417030903233,-0.017729242512551063,0,0.020277777777777777,47.328767123287676,2,"[35.1489333, 128.9527466]","[35.1689566, 128.9602066]"
18138,35.176725,128.9508233,35.1691866,128.9600916,2026.53,49,38,44,6,0,0,0,0,0,0,0,0,0,0,"공항앞길,유통단지1로58번길,유통단지1로",4550,4,1.9,1.351388888888889,0.5486111111111109,-0.016248893905119105,0.010045008807273858,0,0.03805555555555556,35.51094890510949,1,"[35.176725, 128.9508233]","[35.1691866, 128.9600916]"
18139,35.165585,128.9593066,35.15262,128.9540533,1793.08,12,7,8,8,0,0,0,0,0,0,0,0,0,0,"공항로,-,-",4550,2,1.5,0.3736111111111111,1.1263888888888889,-0.03566812833132646,-0.006014731947266642,0,0.009722222222222222,38.42857142857143,1,"[35.165585, 128.9593066]","[35.15262, 128.9540533]"
18140,35.14546,128.95099,35.1190549,128.936685,2152.6,15,8,77,28,13,0,0,0,0,0,0,0,0,0,"공항로,-,-",6450,1,3.2,1.8069444444444445,1.3930555555555557,-0.02317124530025456,-0.03308002759624223,0,0.03916666666666667,46.13475177304964,2,"[35.14546, 128.95099]","[35.1190549, 128.936685]"
18141,35.11381,128.933415,35.09979,128.9275616,2242.72,9,21,2,31,0,0,0,0,0,0,0,0,0,0,"공항로,르노삼성대로,-",4550,2,1.7,0.7652777777777777,0.9347222222222222,-0.03425446269352816,-0.006861792260810593,0,0.0175,43.73015873015872,2,"[35.11381, 128.933415]","[35.09979, 128.9275616]"
18148,35.176825,128.9506916,35.1767816,128.9542166,2557.5,6,20,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번나길,-",4550,1,0.595,0.2361111111111111,0.35888888888888887,-0.05036091691766916,-0.011058714719294463,0,0.007222222222222222,32.69230769230769,0,"[35.176825, 128.9506916]","[35.1767816, 128.9542166]"
18149,35.1768266,128.9542016,35.1763849,128.9508,2910.06,7,15,19,0,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항로811번나길,공항앞길",4550,2,1.1,0.43194444444444446,0.6680555555555556,-0.03849545960692307,-0.004320611320178739,0,0.01138888888888889,37.926829268292686,1,"[35.1768266, 128.9542016]","[35.1763849, 128.9508]"
18154,35.1766616,128.9507666,35.176755,128.9540583,2137.88,13,9,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번나길,-",4550,1,0.551,0.17777777777777778,0.37322222222222223,-0.05067192335798479,-0.010872361450314795,0,0.006111111111111111,29.09090909090909,0,"[35.1766616, 128.9507666]","[35.176755, 128.9540583]"
18155,35.1769599,128.9540399,35.17674,128.9506816,2290.59,6,15,7,12,0,0,0,0,0,0,0,0,0,0,"공항로811번나길,공항로811번나길,공항앞길",4550,2,1.1,0.4583333333333333,0.6416666666666668,-0.03849545960692307,-0.004320611320178739,0,0.011111111111111112,41.25,2,"[35.1769599, 128.9540399]","[35.17674, 128.9506816]"
18188,35.17844,128.9576766,35.1777016,128.95209,2074.56,44,20,12,0,0,0,0,0,0,0,0,0,0,0,"공항로,공항로791번길,공항로811번나길",4550,2,0.88,0.65,0.22999999999999998,-0.040050491808501204,-0.0033888449752803923,0,0.021111111111111112,30.789473684210527,0,"[35.17844, 128.9576766]","[35.1777016, 128.95209]"
18189,35.1776633,128.9520116,35.176785,128.9507833,1491.77,19,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길85번길,공항앞길,-",4550,1,0.158,0.13194444444444445,0.026055555555555554,-0.053449776336258456,-0.009207887934200928,0,0.005277777777777778,25.0,0,"[35.1776633, 128.9520116]","[35.176785, 128.9507833]"
18205,35.17331,128.959245,35.1769483,128.95065,2021.6,81,65,8,0,0,0,0,0,0,0,0,0,0,0,"공항로743번길,유통단지1로40번길,공항앞길",4550,3,1.5,1.2944444444444445,0.2055555555555555,-0.027372176756021088,0.0028621987435475593,0,0.042777777777777776,30.259740259740262,0,"[35.17331, 128.959245]","[35.1769483, 128.95065]"
18211,35.1767566,128.950875,35.181075,128.9553233,2514.24,68,4,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항진입로,-",4550,2,0.781,0.5111111111111111,0.26988888888888896,-0.04075025629921136,-0.0029695501200761353,0,0.02,25.555555555555554,0,"[35.1767566, 128.950875]","[35.181075, 128.9553233]"
18219,35.1776433,128.9504933,35.17687,128.9507783,1811.64,14,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항진입로,공항앞길,-",4550,1,0.633,0.09722222222222222,0.5357777777777778,-0.05009232044648748,-0.011219656178867813,0,0.0038888888888888888,25.0,0,"[35.1776433, 128.9504933]","[35.17687, 128.9507783]"
18223,35.1768783,128.9509,35.177625,128.95057,1850.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항진입로,-",4550,1,0.323,0.0625,0.2605,-0.052283502185074854,-0.009906712692874688,0,0.0025,25.0,0,"[35.1768783, 128.9509]","[35.177625, 128.95057]"
18229,35.1768483,128.9507666,35.1810516,128.9554083,2113.92,13,32,16,15,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항진입로,-",4550,2,0.773,0.8305555555555556,0.05755555555555558,-0.0408068029247233,-0.002935667707534377,0,0.021111111111111112,39.3421052631579,1,"[35.1768483, 128.9507666]","[35.1810516, 128.9554083]"
18236,35.17778,128.9506416,35.181035,128.9554283,3361.4,7,31,17,22,7,0,0,0,0,0,0,0,0,0,"공항진입로,-,-",4550,1,0.644,1.025,0.3809999999999999,-0.05001456883640858,-0.01126624449611273,0,0.023333333333333334,43.92857142857142,2,"[35.17778, 128.9506416]","[35.181035, 128.9554283]"
18237,35.181035,128.9554283,35.1777116,128.9506833,2642.31,30,28,0,0,0,0,0,0,0,0,0,0,0,0,"공항진입로,공항진입로,-",4550,2,1.1,0.48055555555555557,0.6194444444444445,-0.03849545960692307,-0.004320611320178739,0,0.01611111111111111,29.82758620689655,0,"[35.181035, 128.9554283]","[35.1777116, 128.9506833]"
18251,35.17834,128.9577033,35.1768433,128.9508,1702.38,134,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항로791번길,공항로811번나길,공항앞길",4550,2,1.1,0.9305555555555556,0.1694444444444445,-0.03849545960692307,-0.004320611320178739,0,0.03722222222222222,25.000000000000004,0,"[35.17834, 128.9577033]","[35.1768433, 128.9508]"
18252,35.1768433,128.9508,35.1776083,128.9508083,2270.32,10,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.11800000000000001,0.06944444444444445,0.04855555555555556,-0.053732509463818114,-0.009038475871492138,0,0.002777777777777778,25.0,0,"[35.1768433, 128.9508]","[35.1776083, 128.9508083]"
18268,35.1767066,128.9508283,35.1775966,128.9506716,2458.92,13,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.11,0.09027777777777778,0.019722222222222224,-0.05378905608933005,-0.009004593458950378,0,0.003611111111111111,25.0,0,"[35.1767066, 128.9508283]","[35.1775966, 128.9506716]"
18276,35.1776733,128.95074,35.1739916,128.9506683,2075.85,52,10,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항앞길177번길,-",4550,1,0.47500000000000003,0.4583333333333333,0.01666666666666672,-0.05120911630034814,-0.010550478531168092,0,0.017222222222222222,26.612903225806452,0,"[35.1776733, 128.95074]","[35.1739916, 128.9506683]"
18279,35.1777166,128.9508333,35.1769066,128.950805,2266.0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.11800000000000001,0.04861111111111111,0.06938888888888889,-0.053732509463818114,-0.009038475871492138,0,0.0019444444444444444,25.0,0,"[35.1777166, 128.9508333]","[35.1769066, 128.950805]"
18289,35.1769433,128.9511316,35.181045,128.955395,2830.5,24,23,12,0,20,0,0,0,0,0,0,0,0,0,"공항앞길,공항진입로,-",4550,2,0.781,0.9013888888888889,0.12038888888888888,-0.04075025629921136,-0.0029695501200761353,0,0.021944444444444444,41.07594936708861,2,"[35.1769433, 128.9511316]","[35.181045, 128.955395]"
18290,35.181045,128.955395,35.1769216,128.9510783,1761.8,65,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항로811번가길,공항로811번나길,공항앞길",4550,3,1.5,0.4513888888888889,1.0486111111111112,-0.027372176756021088,0.0028621987435475593,0,0.018055555555555554,25.000000000000004,0,"[35.181045, 128.955395]","[35.1769216, 128.9510783]"
18306,35.1783983,128.95759,35.1769366,128.9507066,1801.0,61,57,0,0,0,0,0,0,0,0,0,0,0,0,"공항로791번길,공항로811번나길,공항앞길",4550,2,1.2,0.9777777777777777,0.2222222222222222,-0.037788626788023916,-0.0047441414769507145,0,0.03277777777777778,29.830508474576266,0,"[35.1783983, 128.95759]","[35.1769366, 128.9507066]"
18332,35.1776216,128.9518733,35.17688,128.9509116,2244.02,54,43,5,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.134,0.8555555555555555,0.7215555555555555,-0.05361941621279425,-0.009106240696575655,0,0.028333333333333332,30.19607843137255,0,"[35.1776216, 128.9518733]","[35.17688, 128.9509116]"
18340,35.1776383,128.9506549,35.1770449,128.95093,1796.32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항진입로,공항앞길,-",4550,1,0.61,0.04861111111111111,0.5613888888888888,-0.05025489199483429,-0.01112224424281026,0,0.0019444444444444444,25.0,0,"[35.1776383, 128.9506549]","[35.1770449, 128.95093]"
18344,35.1771666,128.9511566,35.1769583,128.9508866,2030.56,5,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.07100000000000001,0.034722222222222224,0.036277777777777784,-0.05406472088870072,-0.008839416697809308,0,0.001388888888888889,25.0,0,"[35.1771666, 128.9511566]","[35.1769583, 128.9508866]"
18358,35.177025,128.9509683,35.1768033,128.9577033,2098.08,43,33,33,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,공항로811번나길,공항로791번길",4550,2,1.0,1.0319444444444446,0.03194444444444455,-0.039202292425822224,-0.003897081163406763,0,0.03027777777777778,34.08256880733945,0,"[35.177025, 128.9509683]","[35.1768033, 128.9577033]"
18361,35.1777299,128.9506783,35.1769516,128.9509283,1766.57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항진입로,공항앞길,-",4550,1,0.633,0.05555555555555555,0.5774444444444444,-0.05009232044648748,-0.011219656178867813,0,0.0022222222222222222,25.0,0,"[35.1777299, 128.9506783]","[35.1769516, 128.9509283]"
18375,35.1770633,128.9509233,35.1804133,128.95433,1941.38,54,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.536,0.375,0.16100000000000003,-0.05077794828081966,-0.010808831926798998,0,0.015,25.0,0,"[35.1770633, 128.9509233]","[35.1804133, 128.95433]"
18394,35.17685,128.9508366,35.17761,128.950765,2286.6,15,0,0,0,0,0,0,0,0,0,0,0,0,0,"공항앞길,-,-",4550,1,0.11800000000000001,0.10416666666666667,0.013833333333333336,-0.053732509463818114,-0.009038475871492138,0,0.004166666666666667,25.0,0,"[35.17685, 128.9508366]","[35.17761, 128.950765]"
18431,35.17096,128.9494733,35.1767599,128.9506049,2047.27,2,4,0,0,0,0,0,0,0,0,0,0,0,0,"공항진입로,공항앞길,-",4550,1,1.0,0.05277777777777778,0.9472222222222222,-0.04749824400112759,-0.012774011854220965,0,0.0016666666666666668,31.666666666666664,0,"[35.17096, 128.9494733]","[35.1767599, 128.9506049]"
18435,35.1778416,128.9509116,35.1766549,128.9540833,2018.58,32,13,0,0,0,0,0,0,0,0,0,0,0,0,"공항진입로,공항앞길51번길,공항로811번나길",4550,2,0.63,0.3486111111111111,0.2813888888888889,-0.041817573855749086,-0.0023300195833504513,0,0.0125,27.888888888888886,0,"[35.1778416, 128.9509116]","[35.1766549, 128.9540833]"
