device_id,s_date,e_date,s_lat,s_lng,e_lat,e_lng,max_rpm,s20,s30,s40,s50,s60,s70,s80,s90,s100,s110,s120,s130,s140,s150,start_gps,end_gps,distance,start_add,end_add,s_teukbyul_si/do,s_teukbyulsi/goon/gu,s_dong/eup/myun,e_teukbyulsi/do,e_teukbyulsi/goon/gu,e_dong/eup/myun,road_list,duration,fee,root_dist
864000000000000.0,2021-06-08 23:00,2021-06-08 23:00,37.5323616,126.881365,37.5638999,126.8605316,4455.451,157.157,71.071,115.115,68.068,10.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5323616, 126.881365","37.5638999, 126.8605316",3.9587557665390856,서울특별시 양천구 목동 912-4,서울특별시 강서구 가양동 435-2,서울특별시,양천구,목동,서울특별시,강서구,가양동,원활 국회대로 1.1km 원활 서부간선도로 2.4km 서행 공항대로 2.6km,13분,"10,270원",8.4km
864000000000000.0,2021-06-08 23:00,2021-06-09 0:00,35.2042133,129.0838733,35.1687283,128.9552466,3770.767,291.291,92.092,209.209,213.213,213.213,202.202,69.069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.2042133, 129.0838733","35.1687283, 128.9552466",12.337278844975172,부산광역시 동래구 명륜동 748,부산광역시 강서구 대저2동 3173,부산광역시,동래구,명륜동,부산광역시,강서구,대저2동,원활 만덕대로 3km 서행 남해고속도로 4.9km 미확인 공항로 4.3km,23분,"24,950원",19km
864000000000000.0,2021-06-09 0:00,2021-06-09 1:00,37.5503016,127.174365,37.5671899,126.82825,3108.105,229.229,148.148,311.311,267.267,257.257,515.515,196.196,467.467,70.07,0.0,0.0,0.0,0.0,0.0,"37.5503016, 127.174365","37.5671899, 126.82825",30.56690680053469,서울특별시 강동구 상일로,서울특별시 강서구 마곡동 367-7,서울특별시,강동구,상일로,서울특별시,강서구,마곡동,원활 아리수로 2.4km 원활 올림픽대로 34km 서행 마곡중앙10로 1.1km,38분,"40,050원",41km
864000000000000.0,2021-06-09 0:00,2021-06-09 1:00,35.17689,128.950745,35.152265,129.0265499,3145.142,192.192,93.093,85.085,128.128,291.291,121.6220856,5.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.17689, 128.950745","35.152265, 129.0265499",7.414923139669503,부산광역시 강서구 공항앞길 116,부산광역시 부산진구 개금1동 594-36,부산광역시,강서구,공항앞길,부산광역시,부산진구,개금1동,미확인 공항로 1.2km 서행 남해제2고속도로지선 2.8km 서행 가야대로 4.1km,17분,"16,110원",11km
864000000000000.0,2021-06-09 0:00,2021-06-09 0:00,37.592655,126.6932016,37.5678633,126.8252116,3363.36,160.16,118.118,267.2889709,199.199,58.058,121.121,83.083,0.0,69.069,0.0,0.0,0.0,0.0,0.0,"37.592655, 126.6932016","37.5678633, 126.8252116",11.955168050205652,인천광역시 서구 당하동 996-4,서울특별시 강서구 마곡동 364-1,인천광역시,서구,당하동,서울특별시,강서구,마곡동,서행 고산후로 1.1km 원활 드림로 9.2km 서행 개화동로 1.6km,24분,"18,540원",16km
864000000000000.0,2021-06-09 0:00,2021-06-09 0:00,35.1766566,128.9509633,35.1767833,128.9508233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1766566, 128.9509633","35.1767833, 128.9508233",0.0189840376564346,부산광역시 강서구 대저2동 2401-2,부산광역시 강서구 공항앞길 116,부산광역시,강서구,대저2동,부산광역시,강서구,공항앞길,,1분,"4,550원",25m
864000000000000.0,2021-06-09 0:00,2021-06-09 1:00,35.1768,128.9507349,35.2246249,129.2308133,2854.852,175.175,245.245,321.321,475.475,155.155,81.081,125.125,219.219,465.465,16.016,39.039,0.0,0.0,0.0,"35.1768, 128.9507349","35.2246249, 129.2308133",25.998085430753587,부산광역시 강서구 공항앞길 116,부산광역시 기장군 기장읍 대변리 325-5,부산광역시,강서구,공항앞길,부산광역시,기장군,기장읍,원활 중앙고속도로(삼락-대동) 5.2km 원활 부산외곽순환고속도로 25km 원활 기장대로 4.5km,38분,"62,200원",43km
864000000000000.0,2021-06-09 1:00,2021-06-09 1:00,37.5637349,126.86049,37.5163466,126.8819716,5194.189,311.311,157.157,153.153,52.052,35.035,26.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"37.5637349, 126.86049","37.5163466, 126.8819716",5.5994050567823885,서울특별시 강서구 가양3동 1485,서울특별시 영등포구 문래동 27-1,서울특별시,강서구,가양3동,서울특별시,영등포구,문래동,원활 올림픽대로 2.2km 원활 노들로 602m 원활 서부간선도로 3.9km,9분,"9,990원",8km
864000000000000.0,2021-06-09 1:00,2021-06-09 1:00,35.1686533,128.9552933,35.1492966,128.989475,1801.8,137.137,116.116,74.074,114.114,66.066,8.008,60.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1686533, 128.9552933","35.1492966, 128.989475",3.780032439976284,부산광역시 강서구 대저2동 3173,부산광역시 사상구 273-9 타이어뱅크 학장점,부산광역시,강서구,대저2동,부산광역시,사상구,273-9,미확인 공항로 1.2km 서행 남해제2고속도로지선 2.8km 서행 가야대로 1.1km,8분,"10,530원",6.6km
864000000000000.0,2021-06-09 1:00,2021-06-09 1:00,35.1768983,128.9507133,35.1765433,128.9512266,1258.257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"35.1768983, 128.9507133","35.1765433, 128.9512266",0.0611124100528154,부산광역시 강서구 공항앞길 116,부산광역시 강서구 공항앞길 113,부산광역시,강서구,공항앞길,부산광역시,강서구,공항앞길,,1분,"4,550원",18m
